Date	SBER.ME	GAZP.ME	MTSS.ME	MGNT.ME	SNGS.ME	HYDR.ME	AFLT.ME	DSKY.ME	AAPL	IVV
2018-01-03	154.4893798828125	107.0511245727539	197.9951629638672	5095.50732421875	26.139995574951172	0.6383339762687683	127.19906616210938	70.17794799804688	41.37303161621094	255.41867065429688
2018-01-04	159.08607482910156	110.03916931152344	202.73843383789062	5208.654296875	26.392915725708008	0.6508334279060364	134.8998565673828	71.62193298339844	41.565216064453125	256.5249938964844
2018-01-05	158.9528350830078	111.03517150878906	202.1994171142578	5283.29931640625	26.435070037841797	0.6540229320526123	133.4503173828125	71.62193298339844	42.0384521484375	258.1470031738281
2018-01-09	160.15199279785156	113.36730194091797	203.42115783691406	5185.86767578125	26.528745651245117	0.654884934425354	136.34942626953125	71.11653900146484	41.877506256103516	259.30963134765625
2018-01-10	158.3932342529297	116.1447982788086	204.42730712890625	5233.01171875	26.673940658569336	0.6679878830909729	135.26226806640625	71.65803527832031	41.867889404296875	258.8971252441406
2018-01-11	159.2193145751953	117.07603454589844	210.57199096679688	5225.93994140625	26.60368537902832	0.6667810082435608	134.35629272460938	71.87464141845703	42.105709075927734	260.7347717285156
2018-01-12	158.38658142089844	116.59827423095703	211.50625610351562	5264.44140625	26.978384017944336	0.6616087555885315	131.91015625	72.09123992919922	42.54050064086914	262.4411315917969
2018-01-15	159.119384765625	115.78851318359375	211.79373168945312	5169.3671875	27.020538330078125	0.6636776924133301	132.81613159179688	70.75553894042969		
2018-01-16	159.64569091796875	117.65096282958984	208.41598510742188	5028.72021484375	27.395238876342773	0.6566952466964722	127.51617431640625	71.04434204101562	42.324310302734375	261.4942321777344
2018-01-17	159.76559448242188	120.41226959228516	206.29588317871094	5028.72021484375	28.050960540771484	0.6764357686042786	125.43241882324219	70.93603515625	43.02334976196289	264.1007080078125
2018-01-18	163.54954528808594	121.74839782714844	207.40982055664062	4922.6455078125	28.542757034301758	0.680918276309967	124.29994201660156	72.19953155517578	43.06178665161133	263.70697021484375
2018-01-19	161.51766967773438	120.7604751586914	209.99705505371094	4903.001953125	28.28983497619629	0.6761771440505981	125.65890502929688	70.75553894042969	42.86960983276367	264.8601989746094
2018-01-22	162.54360961914062	121.7079086303711	212.5124053955078	4933.6455078125	28.383508682250977	0.6978141069412231	125.56832122802734	70.71944427490234	42.51889419555664	266.96044921875
2018-01-24	164.9019012451172	121.22203063964844	215.4949188232422	4985.50439453125	28.477184295654297	0.6806597113609314	125.07003021240234	67.1094741821289	41.85107421875	267.4385681152344
2018-01-25	166.9737548828125	121.30302429199219	219.41171264648438	4848.00048828125	28.851884841918945	0.6679016351699829	124.20935821533203	66.96507263183594	41.1039924621582	267.5417175292969
2018-01-26	164.548828125	119.18953704833984	220.56155395507812	4352.2001953125	28.45844841003418	0.6558332443237305	121.58202362060547	66.85677337646484	41.20008087158203	270.6451721191406
2018-01-29	166.86715698242188	117.21369934082031	218.3336639404297	4050.477294921875	28.72542381286621	0.6440234184265137	124.66234588623047	67.28997039794922	40.34729766845703	268.85430908203125
2018-01-30	171.74365234375	116.20148468017578	218.01026916503906	4257.9111328125	28.383508682250977	0.6465232372283936	120.67604064941406	66.92897033691406	40.10948181152344	265.9477844238281
2018-01-31	176.2071533203125	116.08811950683594	222.07080078125	4187.9814453125	26.92218017578125	0.6254035234451294	120.76664733886719	66.7845687866211	40.21998977661133	266.41656494140625
2018-02-01	175.3411102294922	117.73194122314453	223.86749267578125	4100.7646484375	27.409290313720703	0.6311790943145752	122.62389373779297	65.9903793334961	40.3040657043457	266.0790710449219
2018-02-02	171.4239044189453	116.60636901855469	218.76487731933594	3953.83154296875	27.123580932617188	0.6273861527442932	120.94783782958984	66.67626190185547	38.55526351928711	260.2098083496094
2018-02-05	170.30471801757812	117.03555297851562	218.87266540527344	3889.40087890625	27.680946350097656	0.6357478499412537	125.3871078491211	66.60406494140625	37.59197998046875	249.44618225097656
2018-02-06	172.50314331054688	114.65483093261719	217.57907104492188	3759.754150390625	26.795719146728516	0.6180762648582458	122.7597885131836	66.42357635498047	39.16301727294922	254.33099365234375
2018-02-07	171.5971221923828	114.17707061767578	216.3214111328125	3712.610107421875	27.554485321044922	0.6360927224159241	123.6204605102539	66.64017486572266	38.324649810791016	252.76527404785156
2018-02-08	168.6725616455078	111.0999526977539	212.54833984375	3791.18359375	27.04395866394043	0.6370409727096558	124.57174682617188	66.49576568603516	37.270084381103516	243.4174346923828
2018-02-09	166.6206817626953	109.77193450927734	211.29066467285156	3777.825927734375	26.52406120300293	0.6298860907554626	126.20250701904297	65.95428466796875	37.7259521484375	247.21475219726562
2018-02-12	169.91165161132812	111.18093872070312	216.3214111328125	3835.184814453125	26.44443702697754	0.6387649774551392	125.93070983886719	65.340576171875	39.245506286621094	250.50563049316406
2018-02-13	172.07676696777344	113.245849609375	218.47738647460938	3818.684326171875	26.650524139404297	0.6463509202003479	127.10847473144531	65.4849624633789	39.63865661621094	251.23692321777344
2018-02-14	174.56166076660156	112.46846008300781	216.17764282226562	3787.2548828125	26.453805923461914	0.654971182346344	124.75293731689453	65.37667846679688	40.36949157714844	254.6966094970703
2018-02-15	176.26043701171875	110.98658752441406	218.47738647460938	3810.827392578125	26.477224349975586	0.6551436185836792	123.98286437988281	65.0517807006836	41.72503662109375	257.8563537597656
2018-02-16	177.86595153808594	110.98658752441406	220.02256774902344	3514.603759765625	26.702043533325195	0.6635915040969849	124.39054870605469	65.0517807006836	41.589962005615234	257.9219665527344
